Address;Name;WPMsystem;WPM3;WPM3i;Comment;MinValue;MaxValue;DataType;Unit;Access;Enum;BitFlag
2501;BETRIEBSSTATUS;TRUE;TRUE;TRUE;bitcodiert, WPM 3i unterstützt Silent Mode nicht;;;6;;RO;;HK1 PUMPE~B0|HK2 PUMPE~B1|AUFHEIZPROGRAMM~B2|NHZ STUFEN IN BETRIEB~B3|WP IM HEIZBETRIEB~B4|WP IM WARMWASSERBETRIEB~B5|VERDICHTER IN BETRIEB~B6|SOMMERBETRIEB AKTIV~B7|KUEHLBETRIEB AKTIV~B8|MIN. EINE IWS IM ABTAUBETRIEB~B9|SILENTMODE 1 AKTIV~B10|SILENTMODE 2 AKTIV (WP AUS)~B11
2502;EVU-FREIGABE;TRUE;TRUE;TRUE;bitcodiert;;;8;;RO;;EVU-FREIGABE~B0
2503;BETRIEBSSTATUS;FALSE;TRUE;FALSE;bitcodiert;;;6;;RO;;VERDICHTER-1~B0|VERDICHTER-2~B1|VERDICHTER-3~B2|VERDICHTER-4~B3|VERDICHTER-5~B4|VERDICHTER-6~B5|PUFFERLADEPUMPE-1~B6|PUFFERLADEPUMPE-2~B7|PUFFERLADEPUMPE-3~B8|PUFFERLADEPUMPE-4~B9|PUFFERLADEPUMPE-5~B10|PUFFERLADEPUMPE-6~B11|NHZ-1~B12|NHZ-2~B13
2504;FEHLERSTATUS;TRUE;TRUE;TRUE;Anlagenfehler Fehlerquittierung über SERVICEWELT-Oberfläche;0;1;6;;RO;;KEIN FEHLER~B0|FEHLER~B1
2505;BUS-STATUS;TRUE;TRUE;TRUE;;-4;0;6;;RO;;STATUS-OK~B0|STATUS-ERROR~B1|ERROR-PASSIVE~B2|BUS-OFF~B3|PHYSICAL-ERROR~B4
2506;ABTAUEN EINGELEITET;TRUE;TRUE;FALSE;Abtauen eingeleitet;0;1;6;;RO;;AUS~B0|EINGELEITET~B1
2507;AKTIVER FEHLER;TRUE;TRUE;TRUE;Fehlernummer;0;65535;6;;RO;;
2508;MELDUNGSNUMMER;TRUE;FALSE;FALSE;Meldungsnummer;0;65535;6;;RO;;
2509;HK1 PUMPE;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2510;HK2 PUMPE;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2511;HK3 PUMPE;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2512;PUFFERLADEPUMPE 1;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2513;PUFFERLADEPUMPE 2;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2514;WARMWASSERLADEPUMPE;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2515;QUELLENPUMPE;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2516;STÖRAUSGANG;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2517;ZIRKULATIONSPUMPE;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2518;2. WE WARMWASSER;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2519;2. WE HEIZUNG;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2520;KÜHLBETRIEB;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2521;HK2 MISCHER AUF;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2522;HK2 MISCHER ZU;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2523;HK2 MISCHER AUF;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2524;HK2 MISCHER ZU;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2525;NHZ 1;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2526;NHZ 2;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2527;NHZ 1/2;TRUE;FALSE;FALSE;Status WPM;0;1;6;;RO;;
2528;HK4 PUMPE;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2529;HK5 PUMPE;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2530;PUFFERLADEPUMPE 3;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2531;PUFFERLADEPUMPE 4;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2532;PUFFERLADEPUMPE 5;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2533;PUFFERLADEPUMPE 6;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2534;PUMPE DIFFERENZREGLER 1;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2535;PUMPE DIFFERENZREGLER 2;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2536;SCHWIMMBADPUMPE PRIMÄR;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2537;SCHWIMMBADPUMPE SEKUNDÄR;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2538;HK4 MISCHER AUF;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2539;HK4 MISCHER ZU;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2540;HK5 MISCHER AUF;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2541;HK5 MISCHER ZU;TRUE;FALSE;FALSE;Status WPE;0;1;6;;RO;;
2542;VERDICHTER 1;TRUE;FALSE;FALSE;Status Wärmepumpe 1;0;1;6;;RO;;
