Address;Name;WPMsystem;WPM3;WPM3i;Comment;MinValue;MaxValue;DataType;Unit;Access
501;ISTTEMPERATUR FE7;TRUE;TRUE;TRUE;;;;2;°C;r
502;SOLLTEMPERATUR FE7;TRUE;TRUE;TRUE;;;;2;°C;r
503;ISTTEMPERATUR FEK;;TRUE;TRUE;;;;2;°C;r
504;SOLLTEMPERATUR FEK;;TRUE;TRUE;;;;2;°C;r
505;RAUMFEUCHTE;;TRUE;TRUE;;;;2;%;r
506;TAUPUNKTTEMPERATUR;;TRUE;TRUE;;-40;30;2;°C;r
507;AUSSENTEMPERATUR;TRUE;TRUE;TRUE;;-60;80;2;°C;r
508;ISTTEMPERATUR HK 1;TRUE;TRUE;TRUE;;0;40;2;°C;r
509;SOLLTEMPERATUR HK 1;;;TRUE;;0;65;2;°C;r
510;SOLLTEMPERATUR HK 1;TRUE;TRUE;;;0;40;2;°C;r
511;ISTTEMPERATUR HK 2;TRUE;TRUE;TRUE;;0;90;2;°C;r
512;SOLLTEMPERATUR HK 2;TRUE;TRUE;TRUE;;0;65;2;°C;r
513;VORLAUFISTTEMPERATUR WP;TRUE;TRUE;TRUE;MFG, sofern vorhanden;;;2;°C;r
514;VORLAUFISTTEMPERATUR NHZ;TRUE;TRUE;TRUE;MFG, sofern vorhanden;;;2;°C;r
515;VORLAUFISTTEMPERATUR;TRUE;TRUE;TRUE;;;;2;°C;r
516;RUECKLAUFISTTEMPERATUR;TRUE;TRUE;TRUE;;0;90;2;°C;r
517;FESTWERTSOLLTEMPERATUR;TRUE;TRUE;TRUE;;20;50;2;°C;r
518;PUFFERISTTEMPERATUR;TRUE;TRUE;TRUE;;0;90;2;°C;r
519;PUFFERSOLLTEMPERATUR;TRUE;TRUE;TRUE;;;;2;°C;r
520;HEIZUNGSDRUCK;TRUE;TRUE;TRUE;MFG, sofern vorhanden;;;7;bar;r
521;VOLUMENSTROM;TRUE;TRUE;TRUE;MFG, sofern vorhanden;;;2; l/min;r
522;ISTTEMPERATUR;TRUE;TRUE;TRUE;Warmwasser;10;65;2;°C;r
523;SOLLTEMPERATUR;TRUE;TRUE;TRUE;Warmwasser;10;65;2;°C;r
524;ISTTEMPERATUR GEBLAESE;TRUE;TRUE;TRUE;Kühlen;;;2;K;r
525;SOLLTEMPERATUR GEBLAESE;TRUE;TRUE;TRUE;Kühlen;7;25;2;K;r
526;ISTTEMPERATUR FLAECHE;TRUE;TRUE;TRUE;Kühlen;;;2;K;r
527;SOLLTEMPERATUR FLAECHE;TRUE;TRUE;TRUE;Kühlen;;;2;K;r
528;KOLLEKTORTEMPERATUR;;TRUE;;Solar;0;90;2;°C;r
529;SPEICHERTEMPERATUR;;TRUE;;Solar;0;90;2;°C;r
